title,img,color,price
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Crimson
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Forest Green
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Grey
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Lime
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$12.07,Orange
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Pink
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Purple
Cyclone,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Saffron
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Black
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Burnt Sienna
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Cobalt
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Crimson
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Forest Green
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Grey
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Lime
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Orange
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Pink
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Purple
Guardian GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Saffron
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$12.07,Default Color
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Burnt Sienna
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$13.99,Cobalt
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$13.24,Crimson
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$12.07,Forest Green
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Grey
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$15.49,Lime
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Orange
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Pink
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Purple
Imperator DT5,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Saffron
Komodo,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Default Color
Komodo,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Burnt Sienna
Komodo,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Cobalt
