,product,title,rating,body
69,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Broken,2.0,The protection screen broke 1st day I had it and didn’t even drop it. Just sat it on counter and it cracked.
70,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Good Case,4.0,"Comes with 2 screen protectors, which is great. The case is easy to snap on. Only wish that the cover for the lenses was one piece instead of 3 separate pieces. But overall, it’s a good case."
71,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",2 out of 3 ain't bad,3.0,"This plastic case is prefectly clear and it hits the buttons correctly, the camera cover fits exactly and on the IPhone 13 Pro Max the camera feels very unprotected and so it is protection that is definitely required.  The problem is the front screen cover.  While the cover was easy to install and fit exactly, it did not allow FaceID to correctly identify your face.  Because of this, I left the front cover off and used the case and camera cover.  For the price I thought this was fair."
72,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",I like it.,4.0,"Easy to install, and it was a bit challenging to peel the lens protector cover off, so I had to cut all around to pry it off. All in all, it worked out."
73,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Missing two features/things,3.0,"First, no instructions sent. Who does that? And could not find it on their site either.Second, the only thing I really don't like is the camera protector part. It goes on with some kind of adhesive and that can catch dust while trying to get it on. Why did they not just make it part of the bottom protector?Other than that, its fine."
74,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear","Decent case, bad screen protector",3.0,"I like the case well enough, it has some sharp lines along the edges, but that is not a deal breaker. I cannot use the screen protectors if I want to use face recognition to unlock my phone and/or apps. The cutout for the front facing cameral lens is too small, and it's enough to disrupt that process. I installed one of the screen protectors (it went on nicely, good install) and facial recognition was not working on the phone. I pulled off the screen protector and the phone worked as usual."
75,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Good case,4.0,It seems like a good durable case. I have not dropped my new phone yet …. It’ll happen and I am pretty sure this case will save my phone.
76,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Fit like a glove.,4.0,Fit great and seems to be sturdy enough for my usage.
77,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Thought this would be more than a flabby piece of plastic,1.0,Thought this would be a little more durable
78,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Useful,4.0,"The screen protector took an air pocket that won’t resolve, but it may have been my fault. Otherwise, I am very happy with the product."
